Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-1.3200000000000003,0,3416,12,0,3428
arimaFD,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,-0.55,0,3423,5,0,3428
arimaFD,standard,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD,standard,artificialNoAnomaly/art_noisy.csv,1.0,-0.11,0,3427,1,0,3428
arimaFD,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.5675428381460991,2,3025,0,401,3428
arimaFD,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.33,0,3022,3,403,3428
arimaFD,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.44,0,3021,4,403,3428
arimaFD,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.273796749822173,0,3022,3,403,3428
arimaFD,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.5632116326809754,1,3025,0,402,3428
arimaFD,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.11,0,3024,1,403,3428
arimaFD,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1381
arimaFD,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,-2.1046269201880965,0,1218,1,162,1381
arimaFD,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,0.7588615203786555,2,1155,0,151,1308
arimaFD,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,0.992891523461038,1,1155,0,152,1308
arimaFD,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.0,0,1232,0,165,1397
arimaFD,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.0,0,1233,0,164,1397
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.1099998944549765,0,3025,1,402,3428
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-1.0721978665052776,1,3025,1,401,3428
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,0.6694894948228731,1,3022,3,402,3428
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.9581316915625562,2,3085,0,341,3428
arimaFD,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.7673127770158185,2,3024,1,401,3428
