Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD1,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,reward_low_FP_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,reward_low_FP_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,1.0,-0.22,0,3427,1,0,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.5675428381460991,2,3025,0,401,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.219595132570966,0,3024,1,403,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.8725052641651438,2,3025,0,401,3428
arimaFD1,reward_low_FP_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.22,0,3024,1,403,3428
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1381
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,-2.0,0,1219,0,162,1381
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,-3.0,0,1155,0,153,1308
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,1.0,-1.0,0,1155,0,153,1308
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.0,0,1232,0,165,1397
arimaFD1,reward_low_FP_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.0,0,1233,0,164,1397
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-0.3509982435695854,1,3026,0,401,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.7396822164785674,2,3084,1,341,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.6766860599919151,1,3025,0,402,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4021
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-2.0,0,3547,0,474,4021
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-2.2199999999999998,0,3025,1,402,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.0,0,3463,0,465,3928
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1057
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-0.11874793009745765,1,3026,0,401,3428
arimaFD1,reward_low_FP_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-0.09361015500301773,2,3026,0,400,3428
arimaFD1,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-2.66,0,5788,3,726,6517
arimaFD1,reward_low_FP_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,0.6536405419624446,3,15800,1,1496,17300
arimaFD1,reward_low_FP_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,0.6729059167252405,2,3081,1,344,3428
arimaFD1,reward_low_FP_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-0.4631453895482852,4,19670,7,2264,21945
arimaFD1,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,1.0,2.272093613100641,6,8535,0,1029,9570
arimaFD1,reward_low_FP_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-2.4399959497600756,0,1408,2,190,1600
arimaFD1,reward_low_FP_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-2.0,0,4035,0,530,4565
arimaFD1,reward_low_FP_rate,realTraffic/occupancy_6005.csv,1.0,0.511659175571704,1,1782,2,238,2023
arimaFD1,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,1.0,1.7585945423775997,20,1875,0,230,2125
arimaFD1,reward_low_FP_rate,realTraffic/speed_6005.csv,1.0,0.8670621615253519,1,1886,0,238,2125
arimaFD1,reward_low_FP_rate,realTraffic/speed_7578.csv,1.0,-4.0,0,842,0,116,958
arimaFD1,reward_low_FP_rate,realTraffic/speed_t4013.csv,1.0,-0.44139464675226414,1,1871,0,249,2121
arimaFD1,reward_low_FP_rate,realTraffic/TravelTime_387.csv,1.0,-3.0,0,1876,0,249,2125
arimaFD1,reward_low_FP_rate,realTraffic/TravelTime_451.csv,1.0,-1.0,0,1621,0,217,1838
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,1.0,-4.0,0,13564,0,1588,15152
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-0.48813204545834044,2,13500,1,1578,15081
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_CRM.csv,1.0,-1.7012474872205217,1,13556,3,1592,15152
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_CVS.csv,1.0,-3.6470425411168175,0,13574,3,1526,15103
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_FB.csv,1.0,-7.397092767854348,1,13468,33,1581,15083
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_GOOG.csv,1.0,0.05460609519434456,3,13657,3,1429,15092
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_IBM.csv,1.0,-0.4507630937512357,1,13552,1,1589,15143
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_KO.csv,1.0,-3.0,0,13514,0,1587,15101
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_PFE.csv,1.0,-4.4399999999999995,0,13518,2,1588,15108
arimaFD1,reward_low_FP_rate,realTweets/Twitter_volume_UPS.csv,1.0,-5.21666077443858,0,13530,1,1585,15116
Totals,,,,-78.14144773190245,57,299279,68,33438,332842
