Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD1,standard,artificialNoAnomaly/art_daily_no_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,standard,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,standard,artificialNoAnomaly/art_daily_small_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,standard,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,standard,artificialNoAnomaly/art_noisy.csv,1.0,-0.11,0,3427,1,0,3428
arimaFD1,standard,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,0.5675428381460991,2,3025,0,401,3428
arimaFD1,standard,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,standard,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,standard,artificialWithAnomaly/art_daily_nojump.csv,1.0,-1.109797566285483,0,3024,1,403,3428
arimaFD1,standard,artificialWithAnomaly/art_increase_spike_density.csv,1.0,0.8725052641651438,2,3025,0,401,3428
arimaFD1,standard,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-1.11,0,3024,1,403,3428
arimaFD1,standard,realAdExchange/exchange-2_cpc_results.csv,1.0,-1.0,0,1218,0,163,1381
arimaFD1,standard,realAdExchange/exchange-2_cpm_results.csv,1.0,-2.0,0,1219,0,162,1381
arimaFD1,standard,realAdExchange/exchange-3_cpc_results.csv,1.0,-3.0,0,1155,0,153,1308
arimaFD1,standard,realAdExchange/exchange-3_cpm_results.csv,1.0,-1.0,0,1155,0,153,1308
arimaFD1,standard,realAdExchange/exchange-4_cpc_results.csv,1.0,-3.0,0,1232,0,165,1397
arimaFD1,standard,realAdExchange/exchange-4_cpm_results.csv,1.0,-4.0,0,1233,0,164,1397
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-2.0,0,3026,0,402,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-0.3509982435695854,1,3026,0,401,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,0.8496822164785673,2,3084,1,341,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.6766860599919151,1,3025,0,402,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,3428
arimaFD1,standard,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD1,standard,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,-1.0,0,3548,0,473,4021
arimaFD1,standard,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-3.0,0,3023,0,405,3428
arimaFD1,standard,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-1.0,0,3025,0,403,3428
arimaFD1,standard,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-2.0,0,3547,0,474,4021
arimaFD1,standard,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-2.1100000000000003,0,3025,1,402,3428
arimaFD1,standard,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.0,0,3463,0,465,3928
arimaFD1,standard,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-2.0,0,931,0,126,1057
arimaFD1,standard,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-0.11874793009745765,1,3026,0,401,3428
arimaFD1,standard,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-0.09361015500301773,2,3026,0,400,3428
arimaFD1,standard,realKnownCause/ambient_temperature_system_failure.csv,1.0,-2.33,0,5788,3,726,6517
arimaFD1,standard,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,0.7636405419624446,3,15800,1,1496,17300
arimaFD1,standard,realKnownCause/ec2_request_latency_system_failure.csv,1.0,0.7191121831140199,2,3081,1,344,3428
