Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
arimaFD6,reward_low_FN_rate,artificialNoAnomaly/art_daily_no_noise.csv,1.0,-0.44,0,3424,4,0,3428
arimaFD6,reward_low_FN_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,1.0,0.0,0,3428,0,0,3428
arimaFD6,reward_low_FN_rate,artificialNoAnomaly/art_daily_small_noise.csv,1.0,0.0,0,3428,0,0,3428
arimaFD6,reward_low_FN_rate,artificialNoAnomaly/art_flatline.csv,1.0,0.0,0,3428,0,0,3428
arimaFD6,reward_low_FN_rate,artificialNoAnomaly/art_noisy.csv,1.0,-2.2000000000000006,0,3408,20,0,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,1.0,-2.0,0,3025,0,403,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsdown.csv,1.0,-2.0,0,3025,0,403,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_daily_jumpsup.csv,1.0,-2.0,0,3025,0,403,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_daily_nojump.csv,1.0,-2.0,0,3025,0,403,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_increase_spike_density.csv,1.0,-2.571215531986997,4,2992,33,399,3428
arimaFD6,reward_low_FN_rate,artificialWithAnomaly/art_load_balancer_spikes.csv,1.0,-2.22,0,3023,2,403,3428
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-2_cpc_results.csv,1.0,-2.216536583288507,0,1216,2,163,1381
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-2_cpm_results.csv,1.0,-4.109999999999999,0,1218,1,162,1381
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-3_cpc_results.csv,1.0,-6.549883897904397,0,1150,5,153,1308
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-3_cpm_results.csv,1.0,-2.11,0,1154,1,153,1308
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-4_cpc_results.csv,1.0,-6.0,0,1232,0,165,1397
arimaFD6,reward_low_FN_rate,realAdExchange/exchange-4_cpm_results.csv,1.0,-5.278304785204089,1,1232,1,163,1397
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_24ae8d.csv,1.0,-4.0,0,3026,0,402,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_53ea38.csv,1.0,-0.4030602355910341,4,3004,22,398,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_5f5533.csv,1.0,-4.819135359571612,0,3018,8,402,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_77c1ca.csv,1.0,-2.109999513737873,0,3024,1,403,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_825cc2.csv,1.0,-2.0,0,3085,0,343,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,1.0,0.8589086704377245,1,3025,0,402,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_c6585a.csv,1.0,0.0,0,3428,0,0,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_cpu_utilization_fe7f93.csv,1.0,-6.0,0,3023,0,405,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_1ef3de.csv,1.0,0.41400716843034113,2,3542,6,471,4021
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_disk_write_bytes_c0d644.csv,1.0,-6.439989865132321,0,3019,4,405,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_257a54.csv,1.0,-2.0,0,3025,0,403,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,1.0,-4.0,0,3547,0,474,4021
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/elb_request_count_8c0756.csv,1.0,-2.101179944591637,1,3016,10,401,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/grok_asg_anomaly.csv,1.0,-3.4243800967300886,1,3462,1,464,3928
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/iio_us-east-1_i-a2eb1cd9_NetworkIn.csv,1.0,-4.0,0,931,0,126,1057
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_cc0c53.csv,1.0,-4.0,0,3026,0,402,3428
arimaFD6,reward_low_FN_rate,realAWSCloudwatch/rds_cpu_utilization_e47b3b.csv,1.0,-1.255594667084363,1,3025,1,401,3428
arimaFD6,reward_low_FN_rate,realKnownCause/ambient_temperature_system_failure.csv,1.0,-4.109999999999999,0,5790,1,726,6517
arimaFD6,reward_low_FN_rate,realKnownCause/cpu_utilization_asg_misconfiguration.csv,1.0,-7.453904012391052,7,15732,69,1492,17300
arimaFD6,reward_low_FN_rate,realKnownCause/ec2_request_latency_system_failure.csv,1.0,-4.659046652112831,7,3067,15,339,3428
arimaFD6,reward_low_FN_rate,realKnownCause/machine_temperature_system_failure.csv,1.0,-0.20356405514145826,7,19649,28,2261,21945
arimaFD6,reward_low_FN_rate,realKnownCause/nyc_taxi.csv,1.0,1.0854021090949564,4,8533,2,1031,9570
arimaFD6,reward_low_FN_rate,realKnownCause/rogue_agent_key_hold.csv,1.0,-1.568343864035091,1,1408,2,189,1600
arimaFD6,reward_low_FN_rate,realKnownCause/rogue_agent_key_updown.csv,1.0,-3.0336837554355136,1,4021,14,529,4565
arimaFD6,reward_low_FN_rate,realTraffic/occupancy_6005.csv,1.0,0.4067554660287145,1,1779,5,238,2023
arimaFD6,reward_low_FN_rate,realTraffic/occupancy_t4013.csv,1.0,1.296810566220443,2,1869,6,248,2125
arimaFD6,reward_low_FN_rate,realTraffic/speed_6005.csv,1.0,-0.22946645187479575,1,1875,11,238,2125
arimaFD6,reward_low_FN_rate,realTraffic/speed_7578.csv,1.0,-8.33,0,839,3,116,958
arimaFD6,reward_low_FN_rate,realTraffic/speed_t4013.csv,1.0,-4.620914020278077,0,1865,6,250,2121
arimaFD6,reward_low_FN_rate,realTraffic/TravelTime_387.csv,1.0,-6.109999999999999,0,1875,1,249,2125
arimaFD6,reward_low_FN_rate,realTraffic/TravelTime_451.csv,1.0,0.5251353676253714,1,1617,4,216,1838
arimaFD6,reward_low_FN_rate,realTweets/Twitter_volume_AAPL.csv,1.0,-8.0,0,13564,0,1588,15152
arimaFD6,reward_low_FN_rate,realTweets/Twitter_volume_AMZN.csv,1.0,-9.098954191420804,0,13491,10,1580,15081
arimaFD6,reward_low_FN_rate,realTweets/Twitter_volume_CRM.csv,1.0,-8.030686728801602,0,13540,19,1593,15152
